cardId,ord,deckName,factor,interval,note,type,queue,due,reps,lapses,left,mod,dictionary_form,definitions
1692719652132,0,日本語::FMA,1300,3,1692719652132,2,2,351,55,9,1001,1698343138,潜入,"['infiltration', 'sneaking in', 'going undercover', '彼は農夫に身をやつして城下町に潜入した。']"
1692719668007,0,日本語::FMA,2500,74,1692719668007,2,2,401,7,0,1001,1696512029,大佐,"['colonel', '(navy) captain', 'だいさ used by Imperial Japanese Navy', '彼は２年前に、大佐の階級に昇進した。']"
1692719969857,0,日本語::FMA,1300,9,1692719969856,2,2,356,83,14,1001,1698250508,捕獲,"['capture', 'seizure', '私たちは、昨日、森に行き、２頭の鹿を捕獲した。']"
1692719991878,0,日本語::FMA,1300,12,1692719991878,2,2,354,56,6,1001,1697778191,指揮,"['command', 'direction', 'supervision', '彼女は計画の立案を指揮した。']"
1692720004426,0,日本語::FMA,1300,3,1692720004426,2,2,351,52,11,1001,1698297966,任せる,"['to leave (a matter, decision, etc. to someone)', 'to entrust (to someone)', 'to entrust (someone) with', '最終決定は彼に任せた。']"
1692720008691,0,日本語::FMA,1900,21,1692720008691,2,2,362,20,3,1001,1697744151,君,"['you', 'buddy', 'pal', 'sometimes considered male language; referring to someone of equal or lower status', '宿題を忘れるなんて君は不注意だった。']"
1692720054597,0,日本語::FMA,2500,59,1692720054596,2,2,381,10,0,1001,1696051408,命令,"['order', 'command', 'decree', 'directive', 'ケンは自分の犬に、そこで待つように命令した。']"
1692720116475,0,日本語::FMA,1300,11,1692720116475,2,2,351,46,7,1001,1697647552,安心,"['relief', 'peace of mind', 'あいつに仕事を任せておけば安心だ。']"
1692720504948,0,日本語::FMA,2300,40,1692720504947,2,2,356,11,1,1001,1695567448,少年,"['boy', 'juvenile', 'young boy', 'youth', 'lad', 'その内気な少年はぼそぼそと自分の名前をつぶやいた。']"
1692720536469,0,日本語::FMA,2100,28,1692720536469,2,2,350,16,2,1001,1696062057,使う,"['to use (a tool, method, etc.)', 'to make use of', 'to put to use', '「あなたの辞書を使ってもいいですか」「はい、どうぞ」']"
1692720582645,0,日本語::FMA,2500,88,1692720582645,2,2,432,8,0,1001,1697978068,もしかして,"['perhaps', 'possibly', 'maybe', 'by any chance', ""if I\\'m not mistaken"", 'see: <a lang=""ja"" href=""#""><span>もしかすると</span></a><span data-sc-content=""refGlosses"" style=""font-size: 65%; vertical-align: middle;""> perhaps; possibly; maybe; by some chance</span>', 'ああ、もしかして名前を呼ばれるのが恥ずかしいって？']"
